#   line (B)  time (µs)
        1024       417.5
        2048       705.4
        4096       609.9
        8192       613.5
       16384       701.7
       32768       563.1
       65536       869.1
      131072       890.1
      262144       849.7
      524288      1027.0
     1048576      1466.8
     2097152      1476.0
     4194304      6603.8
     8388608     15483.9
    16777216     15700.9
    33554432     15309.6
    67108864     15364.3
   134217728     15479.4
   268435456     15235.4
   536870912     15289.5
